CD_MEDICAMENT;NOM_MEDICAMENT;CONDIT_MEDICAMENT;CATG_MEDICAMENT;MARQUE_FABRI
0;Medicament0;Cond11;CategoryMed45;MarqueMed14
1;Medicament1;Cond12;CategoryMed42;MarqueMed10
2;Medicament2;Cond5;CategoryMed28;MarqueMed9
3;Medicament3;Cond2;CategoryMed11;MarqueMed4
4;Medicament4;Cond3;CategoryMed46;MarqueMed5
5;Medicament5;Cond6;CategoryMed41;MarqueMed13
6;Medicament6;Cond13;CategoryMed2;MarqueMed15
7;Medicament7;Cond10;CategoryMed28;MarqueMed3
8;Medicament8;Cond3;CategoryMed9;MarqueMed17
9;Medicament9;Cond1;CategoryMed14;MarqueMed18
10;Medicament10;Cond10;CategoryMed6;MarqueMed13
11;Medicament11;Cond12;CategoryMed1;MarqueMed19
12;Medicament12;Cond5;CategoryMed32;MarqueMed19
13;Medicament13;Cond3;CategoryMed27;MarqueMed1
14;Medicament14;Cond6;CategoryMed37;MarqueMed20
15;Medicament15;Cond12;CategoryMed45;MarqueMed5
16;Medicament16;Cond6;CategoryMed41;MarqueMed17
17;Medicament17;Cond3;CategoryMed6;MarqueMed17
18;Medicament18;Cond6;CategoryMed8;MarqueMed4
19;Medicament19;Cond10;CategoryMed2;MarqueMed12
20;Medicament20;Cond12;CategoryMed16;MarqueMed16
21;Medicament21;Cond7;CategoryMed6;MarqueMed23
22;Medicament22;Cond4;CategoryMed25;MarqueMed15
23;Medicament23;Cond4;CategoryMed6;MarqueMed12
24;Medicament24;Cond4;CategoryMed21;MarqueMed18
25;Medicament25;Cond11;CategoryMed19;MarqueMed23
26;Medicament26;Cond4;CategoryMed16;MarqueMed4
27;Medicament27;Cond7;CategoryMed20;MarqueMed8
28;Medicament28;Cond5;CategoryMed30;MarqueMed7
29;Medicament29;Cond6;CategoryMed43;MarqueMed22
30;Medicament30;Cond9;CategoryMed15;MarqueMed11
31;Medicament31;Cond13;CategoryMed16;MarqueMed3
32;Medicament32;Cond5;CategoryMed12;MarqueMed23
33;Medicament33;Cond1;CategoryMed21;MarqueMed21
